,CARD,DECK,BALLOT,S91.Q1,S91.Q2,S91.Q3,S91.Q4,S91.Q5,S91.Q6,S91.Q7,S91.Q8,S91.Q9,S91.Q10,S91.Q11,S91.Q12,S91.Q13,S91.Q14,S91.Q15,S91.Q16,S91.Q17,S91.Q18A,S91.Q18B,S91.Q19,S91.Q20,S91.Q21,S91.Q22,S91.Q23,S91.Q24,S91.Q25,S91.Q26,S91.Q27,S91.Q28,S91.Q29,S91.Q30,S91.Q31,S91.Q32,S91.Q33,S91.Q34,S91.Q35,S91.Q36,S91.Q37,S91.Q38,S91.Q39A,S91.Q39B,S91.Q40,S91.Q41,S91.Q42,S91.Q42A,S91.Q43,S91.Q44,S91.Q45,S91.Q46,S91.Q47,S91.Q48,S91.Q49,S91.Q50,S91.Q51,S91.Q52,S91.Q53,S91.Q54,S91.Q55,S91.Q56,S91.Q57,S91.Q58,S91.Q59,S91.Q60,S91.Q61A,S91.Q61B,S91.Q61C,S91.Q61D,S91.Q61E,S91.Q61F,S91.Q61G,S91.Q61H,CARD..1,DECK..1,BALLOT..1,S91.Q61I,S91.Q61J,S91.Q61K,S91.Q61L,S91.Q61M,S91.Q61N,S91.Q61O,S91.Q61P,S91.Q61Q,S91.Q61R,S91.Q61S,S91.Q61T,S91.V61U,S91.V61V,S91.Q62,S91.Q63,S91.Q64,S91.Q65,S91.Q66,S91.Q67,S91.Q68,S91.Q69,S91.Q70,S91.Q71,S91.Q72,S91.Q73,S91.Q74,S91.Q75,S91.Q76,S91.Q77,S91.Q78,S91.Q79,S91.Q80,S91.Q81,S91.Q82,S91.Q83,S91.Q84,S91.Q85,S91.Q86,S91.Q87A,S91.Q87B,S91.Q87C,S91.Q87D,S91.Q87E,S91.Q87F,S91.Q87G,S91.Q88,S91.Q89A.x,S91.Q90,S91.Q91,S91.Q92,S91.Q93,S91.Q94,S91.Q95,S91.Q96,S91.V97,S91.V98,S91.V100
419,1.0,91.0,420.0,2.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,9.0,420.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,6.0,0.0,1.0,1.0,2.0,7.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,0.0,1103.0
420,1.0,91.0,421.0,2.0,10.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,9.0,421.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,5.0,4.0,5.0,12.0,0.0,2.0,1.0,1.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,9.0,5416.0
421,1.0,91.0,422.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,9.0,422.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,0.0,1138.0
422,1.0,91.0,423.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,9.0,423.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,8.0,5331.0
423,1.0,91.0,424.0,2.0,9.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,9.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,424.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,2318.0
424,1.0,91.0,425.0,2.0,10.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,9.0,425.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,11.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3109.0
425,1.0,91.0,426.0,2.0,7.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,426.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,11.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,0.0,1.0,5.0,2.0,2.0,2301.0
426,1.0,91.0,427.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,9.0,427.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2106.0
427,1.0,91.0,428.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,9.0,428.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,8.0,5312.0
428,1.0,91.0,429.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,429.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,0.0,1116.0
429,1.0,91.0,430.0,2.0,7.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,9.0,430.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,6.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3330.0
430,1.0,91.0,431.0,2.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,9.0,431.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,8.0,5309.0
431,1.0,91.0,432.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,9.0,432.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,7.0,2.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,12.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,4133.0
432,1.0,91.0,433.0,1.0,9.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,9.0,433.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,0.0,0.0,6.0,2.0,5.0,4117.0
433,1.0,91.0,434.0,2.0,9.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,9.0,434.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2342.0
434,1.0,91.0,435.0,0.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,435.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,10.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,5.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,5.0,4125.0
435,1.0,91.0,436.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,9.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,436.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,6.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,3.0,5.0,2.0,1.0,2144.0
436,1.0,91.0,437.0,1.0,9.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,9.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,9.0,437.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,2107.0
437,1.0,91.0,438.0,2.0,9.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,9.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,9.0,438.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3135.0
438,1.0,91.0,439.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,5.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,9.0,439.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,2343.0
439,1.0,91.0,440.0,2.0,6.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,440.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,7.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,5.0,2.0,4.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,3.0,0.0,3.0,5.0,2.0,3.0,3111.0
440,1.0,91.0,441.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,9.0,441.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,8.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,9.0,5418.0
441,1.0,91.0,442.0,1.0,10.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,9.0,442.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,4.0,1.0,4.0,12.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,5140.0
