,CARD,DECK,BALLOT,FORM,S63G.Q1,S63G.Q2,S63G.Q3,S63G.Q4,S63G.Q5,S63G.Q6.x,S63G.Q8,S63G.Q9,S63G.Q10,S63G.Q11,S63G.Q12,S63G.Q13,S63G.Q14,S63G.Q15,S63G.Q16,S63G.Q17,S63G.Q18,S63G.Q19,S63G.Q20,S63G.Q21,S63G.Q22,S63G.Q23,S63G.Q24,S63G.Q25,S63G.Q26,S63G.Q27,S63G.Q28,S63G.Q29,S63G.Q30,S63G.Q31,S63G.Q32,S63G.Q33,S63G.Q34,S63G.Q35,S63G.Q36,S63G.Q37,S63G.Q38,S63G.Q39,S63G.Q40,S63G.Q41,S63G.Q42,S63G.Q43,S63G.Q44,S63G.Q45,S63G.Q46,S63G.Q47,S63G.Q48,S63G.Q49,S63G.Q50,S63G.Q51A,S63G.Q51B.n,S63G.Q52,S63G.Q53,S63G.Q54,S63G.Q55,S63G.Q56A,S63G.Q56B.n,S63G.Q57A,S63G.Q57B.n,S63G.Q58,S63G.Q59,S63G.Q60,S63G.Q61,S63G.Q62,S63G.Q63,S63G.Q64,CARD..1,DECK..1,BALLOT..1,FORM..1,S63G.Q65,S63G.Q66,S63G.Q67,S63G.Q68,S63G.Q69,S63G.Q70,S63G.Q71,S63G.Q72A,S63G.Q72B.n,S63G.Q73A,S63G.Q73B.n,S63G.Q74,S63G.Q75,S63G.Q76,S63G.Q77,S63G.Q78,S63G.Q79,S63G.Q80,S63G.Q81,S63G.Q82,S63G.Q83,S63G.Q84,S63G.Q84A.n,S63G.Q85,S63G.Q86,S63G.Q87,S63G.Q88,S63G.Q89,S63G.Q90,S63G.Q91,S63G.Q92,S63G.Q93,S63G.Q94,S63G.Q95,S63G.Q96,S63G.Q97,S63G.Q98.n,S63G.V99,S63G.V100,S63G.V101,S63G.V102,S63G.V103,S63G.V104,S63G.V105,S63G.V106,S63G.V107,S63G.V108,S63G.V109,S63G.V110,S63G.V111,S63G.V112,S63G.V113,S63G.V114,S63G.V115,S63G.V116,S63G.V117
1092,1.0,63.0,1093.0,7.0,4.0,9.0,7.0,4.0,5.0,1.0,5.0,3.0,2.0,6.0,2.0,1.0,15.0,9.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,,1.0,11.0,4.0,3.0,3.0,,3.0,,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,1093.0,7.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,,3.0,,2.0,2.0,4.0,4.0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,,0.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,4.0,3.0,3.0,1.0,2.0,6.0,3.0,46.0,301.0
1093,1.0,63.0,1094.0,7.0,4.0,5.0,7.0,5.0,3.0,1.0,5.0,3.0,2.0,4.0,2.0,1.0,15.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,3.0,,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,63.0,1094.0,7.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,,0.0,4.0,5.0,8.0,12.0,2.0,4.0,2.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,3.0,46.0,1862.0
1094,1.0,63.0,1095.0,7.0,4.0,4.0,7.0,2.0,5.0,1.0,5.0,3.0,3.0,5.0,2.0,5.0,15.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,7.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,4.0,6.0,3.0,,3.0,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,63.0,1095.0,7.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,,0.0,3.0,5.0,7.0,12.0,0.0,4.0,4.0,5.0,3.0,7.0,4.0,6.0,2.0,2.0,6.0,2.0,46.0,3143.0
1095,1.0,63.0,1096.0,7.0,3.0,9.0,6.0,1.0,5.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,9.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,2.0,4.0,4.0,4.0,,4.0,,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,1096.0,7.0,4.0,4.0,5.0,3.0,1.0,1.0,4.0,2.0,,2.0,,1.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,4.0,3.0,,1.0,4.0,5.0,1.0,11.0,0.0,3.0,2.0,3.0,3.0,7.0,5.0,0.0,3.0,3.0,0.0,0.0,70.0,3426.0
1096,1.0,63.0,1097.0,7.0,3.0,4.0,6.0,1.0,5.0,1.0,5.0,3.0,3.0,6.0,2.0,1.0,9.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,2.0,11.0,1.0,1.0,1.0,,1.0,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,1097.0,7.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,,3.0,4.0,4.0,6.0,5.0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,582.0
1097,1.0,63.0,1098.0,7.0,3.0,4.0,7.0,2.0,5.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,9.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,4.0,4.0,3.0,,2.0,,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,1098.0,7.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,,2.0,,1.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,3.0,1.0,,3.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,,2.0,4.0,5.0,2.0,9.0,0.0,3.0,0.0,6.0,4.0,7.0,5.0,1.0,2.0,3.0,0.0,3.0,70.0,3396.0
1098,1.0,63.0,1099.0,7.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,9.0,9.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,,4.0,1.0,3.0,2.0,3.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,63.0,1099.0,7.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,,2.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,3.0,3.0,7.0,9.0,2.0,3.0,1.0,7.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,3.0,70.0,1362.0
1099,1.0,63.0,1100.0,7.0,3.0,9.0,5.0,3.0,1.0,1.0,5.0,3.0,2.0,6.0,2.0,1.0,9.0,9.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,,4.0,2.0,3.0,1.0,4.0,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,63.0,1100.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0,1.0,2.0,2.0,,3.0,4.0,6.0,7.0,12.0,4.0,4.0,0.0,6.0,5.0,4.0,3.0,4.0,5.0,2.0,7.0,3.0,70.0,3056.0
1100,1.0,63.0,1101.0,7.0,3.0,5.0,5.0,2.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,9.0,9.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,,4.0,11.0,4.0,3.0,2.0,,4.0,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,63.0,1101.0,7.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,,3.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,5.0,3.0,2.0,,2.0,2.0,4.0,6.0,10.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,4.0,3.0,2.0,70.0,2534.0
1101,1.0,63.0,1102.0,7.0,5.0,4.0,6.0,8.0,1.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,9.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,4.0,11.0,3.0,3.0,3.0,,1.0,,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,63.0,1102.0,7.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,,2.0,,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,,3.0,4.0,5.0,7.0,9.0,2.0,3.0,0.0,7.0,5.0,6.0,5.0,4.0,3.0,5.0,3.0,5.0,70.0,3556.0
1102,1.0,63.0,1103.0,7.0,5.0,5.0,6.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,9.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,,4.0,3.0,3.0,3.0,3.0,,3.0,,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,63.0,1103.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,,1.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,,0.0,4.0,5.0,2.0,6.0,0.0,1.0,0.0,6.0,5.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,70.0,2114.0
1103,1.0,63.0,1104.0,7.0,5.0,4.0,6.0,2.0,2.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,9.0,9.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,,4.0,11.0,4.0,5.0,2.0,,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,63.0,1104.0,7.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,1.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,,0.0,2.0,0.0,2.0,8.0,1.0,4.0,2.0,2.0,2.0,5.0,3.0,6.0,1.0,3.0,4.0,4.0,70.0,1843.0
1104,1.0,63.0,1105.0,7.0,5.0,5.0,6.0,8.0,2.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,9.0,9.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,,4.0,2.0,3.0,2.0,3.0,,4.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,1105.0,7.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,,2.0,,3.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,3.0,,1.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,5.0,3.0,6.0,2.0,3.0,1.0,2.0,2.0,1.0,70.0,3096.0
1105,1.0,63.0,1106.0,7.0,5.0,4.0,6.0,1.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,9.0,9.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,2.0,3.0,10.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,,4.0,3.0,4.0,3.0,4.0,,1.0,,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,63.0,1106.0,7.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,,2.0,,1.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,3.0,3.0,,2.0,3.0,2.0,7.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,3.0,6.0,2.0,70.0,2825.0
1106,1.0,63.0,1107.0,7.0,5.0,4.0,6.0,5.0,4.0,1.0,5.0,3.0,2.0,6.0,2.0,1.0,9.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,4.0,2.0,3.0,3.0,1.0,,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,63.0,1107.0,7.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,,3.0,4.0,6.0,9.0,12.0,3.0,5.0,2.0,7.0,5.0,7.0,5.0,6.0,4.0,6.0,6.0,3.0,70.0,1422.0
1107,1.0,63.0,1108.0,7.0,5.0,4.0,6.0,7.0,5.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,9.0,9.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,,1.0,3.0,4.0,5.0,3.0,,1.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,63.0,1108.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,,1.0,,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,,4.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,,2.0,3.0,4.0,3.0,9.0,0.0,2.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,2.0,2.0,1.0,70.0,2905.0
1108,1.0,63.0,1109.0,7.0,5.0,5.0,6.0,2.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,1.0,9.0,9.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,4.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,7.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,6.0,1.0,2.0,4.0,4.0,3.0,,1.0,6.0,3.0,1.0,3.0,,4.0,,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,1109.0,7.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,,1.0,1.0,2.0,7.0,8.0,0.0,2.0,3.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,7.0,2.0,70.0,2855.0
1109,1.0,63.0,1110.0,7.0,5.0,6.0,6.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,9.0,9.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,11.0,3.0,3.0,3.0,,3.0,,4.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,63.0,1110.0,7.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,5.0,2.0,4.0,3.0,,0.0,3.0,5.0,6.0,9.0,1.0,2.0,0.0,3.0,5.0,3.0,4.0,4.0,2.0,6.0,5.0,0.0,70.0,2684.0
1110,1.0,63.0,1111.0,7.0,5.0,7.0,6.0,6.0,1.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,9.0,9.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,,1.0,2.0,3.0,3.0,3.0,,4.0,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,63.0,1111.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,2.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,5.0,1.0,5.0,5.0,,1.0,3.0,3.0,5.0,6.0,2.0,2.0,0.0,5.0,2.0,5.0,3.0,0.0,1.0,3.0,1.0,1.0,70.0,2845.0
1111,1.0,63.0,1112.0,7.0,5.0,9.0,6.0,4.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,9.0,11.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,4.0,3.0,1.0,2.0,,2.0,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,63.0,1112.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,3.0,6.0,9.0,2.0,2.0,3.0,5.0,2.0,7.0,4.0,3.0,1.0,4.0,3.0,5.0,70.0,3025.0
1112,1.0,63.0,1113.0,7.0,5.0,9.0,6.0,5.0,4.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,9.0,9.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,7.0,2.0,7.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,,1.0,10.0,3.0,5.0,3.0,,2.0,,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,63.0,1113.0,7.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,,2.0,,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,5.0,12.0,3.0,3.0,2.0,6.0,5.0,2.0,5.0,0.0,5.0,0.0,0.0,4.0,70.0,2775.0
1113,1.0,63.0,1114.0,7.0,5.0,9.0,6.0,8.0,2.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,9.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,1.0,11.0,2.0,11.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,,1.0,11.0,3.0,2.0,3.0,,2.0,,4.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,63.0,1114.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,,2.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,,1.0,3.0,4.0,6.0,10.0,2.0,3.0,0.0,6.0,4.0,6.0,3.0,2.0,1.0,4.0,3.0,3.0,70.0,1563.0
1114,1.0,63.0,1115.0,7.0,5.0,9.0,6.0,1.0,5.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,9.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,3.0,4.0,4.0,1.0,,2.0,,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,63.0,1115.0,7.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,,2.0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,3.0,4.0,6.0,9.0,0.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,70.0,2154.0
1115,1.0,63.0,1116.0,7.0,5.0,4.0,6.0,8.0,3.0,1.0,5.0,3.0,3.0,6.0,2.0,1.0,9.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,11.0,4.0,4.0,3.0,,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,63.0,1116.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,4.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,,1.0,3.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,,1.0,3.0,5.0,3.0,6.0,3.0,3.0,1.0,3.0,3.0,7.0,4.0,6.0,4.0,5.0,2.0,2.0,70.0,701.0
1116,1.0,63.0,1117.0,7.0,5.0,5.0,6.0,1.0,3.0,1.0,5.0,3.0,2.0,5.0,2.0,1.0,9.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,,4.0,3.0,3.0,5.0,4.0,,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,63.0,1117.0,7.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,2.0,,0.0,3.0,4.0,5.0,9.0,0.0,2.0,4.0,6.0,4.0,6.0,3.0,4.0,2.0,5.0,3.0,1.0,4.0,771.0
