,CARD,DECK,BALLOT,S127.Q1,S127.Q2,S127.Q3,S127.Q4,S127.Q5,S127.Q6.x,S127.Q8,S127.Q9,S127.Q10,S127.Q11,S127.Q12,S127.Q13,S127.Q14,S127.Q15,S127.Q16,S127.Q17,S127.Q18,S127.Q19,S127.Q20.n,S127.Q21.1,S127.Q21.2,S127.Q21.3,S127.Q21.4,S127.Q21.5,S127.Q21.6,S127.Q21.7,S127.Q21.8,S127.Q21.9,S127.Q21.10,S127.Q21.11,S127.Q21.12,S127.Q21.13,S127.Q21.14,S127.Q21.15,S127.Q21.16,S127.Q21.17,S127.Q21.18,S127.Q21.19,S127.Q21.20,S127.Q21.21,S127.Q21.22,S127.Q21.23,S127.Q21.24,S127.Q22,S127.Q23,S127.Q24.1,S127.Q24.2,S127.Q24.3,S127.Q24.4,S127.Q24.5,S127.Q24.6,S127.Q24.7,S127.Q24.8,S127.Q24.9,S127.Q24.10,S127.Q24.11,S127.Q24.12,S127.Q24.13,S127.Q24.14,S127.Q24.15,S127.Q24.16,S127.Q24.17,S127.Q24.18,S127.Q24.19,S127.Q24.20,S127.Q24.21,S127.Q24.22,S127.Q25,S127.Q26,CARD..1,DECK..1,BALLOT..1,S127.Q27,S127.Q28,S127.Q29,S127.Q30A,S127.Q30B,S127.Q30C,S127.Q30D,S127.Q30E,S127.Q31,S127.Q32,S127.V33G,S127.V33H,S127.V33I,S127.V33J,S127.Q34,S127.Q35,S127.Q36,S127.Q37,S127.Q38,S127.Q39,S127.Q40,S127.Q41,S127.Q42,S127.Q43,S127.Q44,S127.Q45,S127.Q46,S127.Q47A,S127.Q47B,S127.Q47C,S127.Q47D,S127.Q48,S127.Q49A,S127.Q49B,S127.Q49C,S127.Q49D,S127.Q49E,S127.Q49F,S127.Q49G,S127.Q49H,S127.Q50,S127.Q51,S127.Q52,S127.Q53.1,S127.Q53.2,S127.Q53.3,S127.Q53.4,S127.Q53.5,S127.Q53.6,S127.Q53.7,S127.Q53.8,S127.Q53.9,S127.Q53.10,S127.Q53.11,S127.Q53.12,S127.Q54,S127.Q55,S127.Q56,S127.Q57,S127.Q58,S127.Q59,S127.Q60,S127.Q61,S127.Q62,S127.Q63,S127.Q64,S127.Q65.1,S127.Q65.2,S127.Q65.3,S127.Q65.4,CARD..2,DECK..2,BALLOT..2,S127.Q65.5,S127.Q65.6,S127.Q65.7,S127.Q65.8,S127.Q65.9,S127.Q65.10,S127.Q66,S127.Q67,S127.Q68,S127.Q69,S127.Q70,S127.Q71,S127.Q72,S127.Q73,S127.Q74A.x,S127.Q75,S127.Q76,S127.Q77,S127.Q78,S127.Q79,S127.Q80A,S127.Q80B,S127.Q80C,S127.Q80D,S127.Q80E,S127.Q80F,S127.Q80G,S127.V81,S127.V82,S127.V83,S127.V84,S127.V85,S127.V86,S127.V87,S127.V88,S127.V89
1022,1.0,127.0,1023.0,4.0,3.0,6.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,5.0,3.0,5.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1023.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,11.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,127.0,1023.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,6.0,4.0,1.0,2.0,8.0,1.0,3.0,6.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,6.0,34.0,2.0
1023,1.0,127.0,1024.0,5.0,4.0,6.0,3.0,3.0,2.0,2.0,2.0,6.0,6.0,5.0,2.0,1.0,4.0,4.0,5.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1024.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,4.0,9.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,127.0,1024.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,6.0,4.0,1.0,4.0,7.0,3.0,2.0,7.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,2.0,0.0,0.0,11.0,10.0,2.0
1024,1.0,127.0,1025.0,4.0,4.0,6.0,5.0,5.0,1.0,1.0,3.0,6.0,6.0,4.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1025.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,127.0,1025.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,6.0,4.0,1.0,2.0,2.0,3.0,3.0,7.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,4.0,5.0,2.0,0.0,0.0,6.0,5.0,2.0
1025,1.0,127.0,1026.0,5.0,9.0,6.0,3.0,5.0,1.0,1.0,1.0,5.0,6.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,6.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,127.0,1026.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,3.0,4.0,11.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,127.0,1026.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,4.0,2.0,3.0,2.0,7.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,4.0,1.0,2.0,0.0,0.0,1.0,37.0,2.0
1026,1.0,127.0,1027.0,4.0,7.0,6.0,7.0,1.0,1.0,1.0,2.0,5.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,127.0,1027.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,7.0,2.0,3.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,4.0,2.0,2.0,7.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,127.0,1027.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,6.0,4.0,1.0,4.0,7.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,8.0,4.0,5.0,2.0,0.0,0.0,1.0,2.0,2.0
1027,1.0,127.0,1028.0,6.0,10.0,6.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1028.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,11.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,127.0,1028.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,9.0,4.0,5.0,2.0,0.0,0.0,6.0,1.0,2.0
1028,1.0,127.0,1029.0,6.0,5.0,6.0,5.0,3.0,5.0,2.0,2.0,6.0,6.0,5.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,127.0,1029.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0,1.0,3.0,1.0,2.0,4.0,7.0,1.0,3.0,1.0,4.0,6.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,127.0,1029.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,4.0,3.0,4.0,8.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,4.0,1.0,2.0,0.0,0.0,1.0,27.0,2.0
1029,1.0,127.0,1030.0,5.0,8.0,6.0,5.0,3.0,1.0,1.0,1.0,5.0,6.0,5.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,127.0,1030.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,11.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,127.0,1030.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,4.0,1.0,2.0,0.0,0.0,1.0,34.0,2.0
1030,1.0,127.0,1031.0,4.0,9.0,6.0,9.0,5.0,5.0,2.0,2.0,6.0,6.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,127.0,1031.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,7.0,2.0,3.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,7.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,127.0,1031.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,2.0,3.0,5.0,3.0,3.0,7.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,3.0,1.0,2.0,0.0,0.0,9.0,2.0,2.0
1031,1.0,127.0,1032.0,4.0,10.0,6.0,3.0,5.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1032.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,7.0,3.0,2.0,1.0,3.0,4.0,11.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,7.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,127.0,1032.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,4.0,1.0,4.0,7.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,3.0,1.0,2.0,0.0,0.0,9.0,5.0,2.0
1032,1.0,127.0,1033.0,3.0,6.0,6.0,4.0,2.0,5.0,2.0,2.0,6.0,6.0,1.0,2.0,4.0,4.0,4.0,5.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,127.0,1033.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,7.0,2.0,2.0,1.0,3.0,4.0,6.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,127.0,1033.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,6.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,7.0,2.0,0.0,0.0,3.0,8.0,2.0
1033,1.0,127.0,1034.0,5.0,10.0,6.0,9.0,3.0,1.0,1.0,2.0,6.0,6.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1034.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,6.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,7.0,4.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,127.0,1034.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,4.0,2.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,3.0,7.0,2.0,0.0,0.0,3.0,14.0,2.0
1034,1.0,127.0,1035.0,3.0,7.0,6.0,3.0,4.0,1.0,1.0,1.0,5.0,6.0,1.0,5.0,1.0,3.0,3.0,2.0,1.0,6.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,127.0,1035.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,2.0,4.0,8.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,0.0,2.0,7.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,127.0,1035.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,1.0,3.0,7.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,3.0,1.0,2.0,0.0,0.0,9.0,9.0,2.0
1035,1.0,127.0,1036.0,5.0,8.0,6.0,3.0,4.0,1.0,1.0,2.0,6.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,127.0,1036.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,127.0,1036.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,6.0,4.0,3.0,2.0,7.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,3.0,7.0,2.0,0.0,0.0,3.0,16.0,2.0
1036,1.0,127.0,1037.0,7.0,6.0,6.0,7.0,5.0,5.0,2.0,2.0,6.0,6.0,5.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,127.0,1037.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,127.0,1037.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,2.0,1.0,2.0,0.0,0.0,6.0,18.0,2.0
1037,1.0,127.0,1038.0,5.0,8.0,6.0,4.0,3.0,1.0,1.0,1.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,12.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,127.0,1038.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,11.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,10.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,7.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,127.0,1038.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,0.0,0.0,2.0,6.0,2.0
